IES,DEPARTAMENTO,MUNICIPIO,CARACTER,ORIGEN,tasa_2023_2,pred_2024_1,real_2024_1,pred_2024_2,real_2024_2,tendencia,nivel_riesgo,en_aumento
9110,bogota d c,bogota dc,Institución tecnológica,Oficial,28.18,18.42,0.06,20.16,25.74,-9.76,Medio,False
4701,valle del cauca,cali,Institución técnica profesional,No oficial,18.21,18.42,20.14,18.21,22.83,0.21,Medio,True
2905,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,Oficial,8.0,18.32,12.07,21.51,1.48,10.32,Medio,True
2831,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,19.61,18.01,22.22,18.11,20.36,-1.6,Medio,False
3820,antioquia,medellin,Institución tecnológica,No oficial,21.71,18.0,22.76,17.77,19.83,-3.71,Medio,False
9906,valle del cauca,cali,Institución universitaria/Escuela Tecnológica,No oficial,24.72,17.72,37.93,16.05,21.67,-7.0,Medio,False
9913,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,15.19,17.61,36.34,18.01,23.79,2.42,Medio,True
9904,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,16.92,17.56,43.42,17.86,62.92,0.64,Medio,True
3115,putumayo,mocoa,Institución universitaria/Escuela Tecnológica,Oficial,16.65,17.02,23.01,19.2,19.12,0.37,Medio,True
2727,antioquia,sabaneta,Institución universitaria/Escuela Tecnológica,No oficial,18.88,16.87,17.75,16.64,26.09,-2.01,Medio,False
3725,bogota d c,bogota dc,Institución tecnológica,No oficial,13.71,16.45,17.2,15.91,17.88,2.74,Medio,True
3826,bogota d c,bogota dc,Institución tecnológica,No oficial,15.85,16.4,18.97,16.61,16.13,0.55,Medio,True
9126,atlantico,barranquilla,Institución tecnológica,No oficial,14.61,16.26,29.92,16.35,21.37,1.65,Medio,True
4801,antioquia,medellin,Institución tecnológica,No oficial,16.92,16.2,30.67,16.48,30.3,-0.72,Medio,False
3710,bolivar,cartagena de indias,Institución universitaria/Escuela Tecnológica,No oficial,17.68,16.1,22.5,15.0,27.97,-1.58,Medio,False
3201,santander,bucaramanga,Institución tecnológica,Oficial,15.41,16.02,18.87,15.86,14.12,0.61,Medio,True
4719,bogota d c,bogota dc,Institución técnica profesional,No oficial,9.64,15.97,100.0,16.99,51.61,6.33,Medio,True
2728,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,16.96,15.69,22.08,15.66,11.51,-1.27,Medio,False
