lag4,lag3,lag2,lag1,semestre,CARACTER,ORIGEN,DEPARTAMENTO,MUNICIPIO
18.42,0.0,35.29,28.26,1,Institución tecnológica,No oficial,valle del cauca,cartago
0.0,35.29,28.26,16.33,2,Institución tecnológica,No oficial,valle del cauca,cartago
35.29,28.26,16.33,39.53,1,Institución tecnológica,No oficial,valle del cauca,cartago
28.26,16.33,39.53,21.05,2,Institución tecnológica,No oficial,valle del cauca,cartago
16.33,39.53,21.05,12.42,1,Institución tecnológica,No oficial,valle del cauca,cartago
39.53,21.05,12.42,100.0,2,Institución tecnológica,No oficial,valle del cauca,cartago
21.05,12.42,100.0,39.57,1,Institución tecnológica,No oficial,valle del cauca,cartago
12.42,100.0,39.57,54.93,2,Institución tecnológica,No oficial,valle del cauca,cartago
100.0,39.57,54.93,27.33,1,Institución tecnológica,No oficial,valle del cauca,cartago
39.57,54.93,27.33,100.0,2,Institución tecnológica,No oficial,valle del cauca,cartago
54.93,27.33,100.0,100.0,1,Institución tecnológica,No oficial,valle del cauca,cartago
27.33,100.0,100.0,29.03,2,Institución tecnológica,No oficial,valle del cauca,cartago
100.0,100.0,29.03,8.08,1,Institución tecnológica,No oficial,valle del cauca,cartago
100.0,29.03,8.08,8.76,2,Institución tecnológica,No oficial,valle del cauca,cartago
29.03,8.08,8.76,28.33,1,Institución tecnológica,No oficial,valle del cauca,cartago
8.08,8.76,28.33,11.71,2,Institución tecnológica,No oficial,valle del cauca,cartago
8.76,28.33,11.71,10.82,1,Institución tecnológica,No oficial,valle del cauca,cartago
28.33,11.71,10.82,10.68,2,Institución tecnológica,No oficial,valle del cauca,cartago
11.71,10.82,10.68,9.63,1,Institución tecnológica,No oficial,valle del cauca,cartago
10.82,10.68,9.63,13.05,2,Institución tecnológica,No oficial,valle del cauca,cartago
10.68,9.63,13.05,47.92,1,Institución tecnológica,No oficial,valle del cauca,cartago
9.63,13.05,47.92,10.23,2,Institución tecnológica,No oficial,valle del cauca,cartago
13.05,47.92,10.23,14.42,1,Institución tecnológica,No oficial,valle del cauca,cartago
47.92,10.23,14.42,17.99,2,Institución tecnológica,No oficial,valle del cauca,cartago
10.23,14.42,17.99,14.04,1,Institución tecnológica,No oficial,valle del cauca,cartago
14.42,17.99,14.04,13.53,2,Institución tecnológica,No oficial,valle del cauca,cartago
17.99,14.04,13.53,12.16,1,Institución tecnológica,No oficial,valle del cauca,cartago
14.04,13.53,12.16,17.61,2,Institución tecnológica,No oficial,valle del cauca,cartago
13.53,12.16,17.61,22.51,1,Institución tecnológica,No oficial,valle del cauca,cartago
12.16,17.61,22.51,19.4,2,Institución tecnológica,No oficial,valle del cauca,cartago
17.61,22.51,19.4,13.23,1,Institución tecnológica,No oficial,valle del cauca,cartago
22.51,19.4,13.23,13.1,2,Institución tecnológica,No oficial,valle del cauca,cartago
19.4,13.23,13.1,16.84,1,Institución tecnológica,No oficial,valle del cauca,cartago
13.23,13.1,16.84,14.41,2,Institución tecnológica,No oficial,valle del cauca,cartago
